model_name,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,classification_report_path,confusion_matrix_path,saved_model_path
Random Forest,0.9995,0.9991,0.9986,0.9989,0.9995,0.9995,0.9995,D:\FYP\GAgent\GAgent\phase4_ml_model\outputs\reports\random_forest_classification_report.txt,D:\FYP\GAgent\GAgent\phase4_ml_model\outputs\figures\random_forest_confusion_matrix.png,D:\FYP\GAgent\GAgent\phase4_ml_model\models\random_forest_model.pkl
Decision Tree,0.9994,0.9975,0.999,0.9982,0.9994,0.9994,0.9994,D:\FYP\GAgent\GAgent\phase4_ml_model\outputs\reports\decision_tree_classification_report.txt,D:\FYP\GAgent\GAgent\phase4_ml_model\outputs\figures\decision_tree_confusion_matrix.png,D:\FYP\GAgent\GAgent\phase4_ml_model\models\decision_tree_model.pkl
Logistic Regression,0.9781,0.9604,0.9635,0.9617,0.978,0.9781,0.978,D:\FYP\GAgent\GAgent\phase4_ml_model\outputs\reports\logistic_regression_classification_report.txt,D:\FYP\GAgent\GAgent\phase4_ml_model\outputs\figures\logistic_regression_confusion_matrix.png,D:\FYP\GAgent\GAgent\phase4_ml_model\models\logistic_regression_model.pkl
